name_zh,name_pinyin,gate_category,subcategory,four_qi,five_flavors,meridians,primary_functions,indications,constitutions_suitable,constitutions_caution,contraindications,seasonality,prep_methods,pairing_good,pairing_bad,dietary_dosage,medicinal_dosage,modern_notes,source_ref
灵芝,ling zhi,中药材,安神,温,甘、辛,肺;脾;胃;肾;肝;心;胆;小肠,补气安神;止咳平喘,失眠健忘;虚劳咳喘,阳虚、阴虚、气滞、湿热、平和,适量使用;忌过量,实热内盛慎；阴虚火旺慎；孕妇慎；脾虚湿盛慎,四季,泡茶/煎服/煲汤/外用/生食/研末/泡饮,枸杞;红枣;蜂蜜,油腻;辛辣,——,15-60g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
灵芝孢子粉,ling zhi bao zi fen,中药材,安神,微温,苦甘、咸,心;小肠;肝;肾;肺;胆;脾;胃,扶正固本;安神,体虚失眠;免疫低下,阳虚、湿热、气滞、血虚、痰湿,适量使用;忌过量,脾虚湿盛慎；孕妇慎；阴虚火旺慎；实热内盛慎,四季,炙用/煎服/炖煮/泡饮/研末/煲汤/外用/生食,枸杞;红枣;蜂蜜,油腻;辛辣,——,100-250g/餐,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
灵芝蜂蜜饮,ling zhi feng mi yin,食材,药膳饮品类,平,甘,肺;脾,燥咳;失眠,肺;脾,血虚、湿热、气虚、阴虚、阳虚,孕期慎用;适量为宜,阴虚火旺慎；孕妇慎；脾虚湿盛慎；实热内盛慎,四季,冲饮,枸杞;红枣;桂圆,过量酒精,100-250g/餐,——,药膳或滋补饮品原料，适宜体虚调养及季节性食疗。,《本草纲目》要点/现代药理参考
熟地黄,shu di huang,中药材,补血滋阴,温,甘,肝;肾,补血滋阴;益精填髓,血虚萎黄;月经不调;崩漏;肝肾阴虚;腰膝酸软,血虚、阴虚、阳虚,痰湿、湿热,脾胃虚弱;气滞痰多;脘腹胀满便溏者慎,四季,煎服/入膳/熬膏,当归;白芍;枸杞,萝卜;葱;蒜,——,9-24g/日,"药食参考条目。为""地黄""的炮制品，功专补益。",《中国药典》/《本草纲目》
燕窝,yan wo,中药材,补阴,平,甘,肺;胃;肾,养阴润燥;益气补中,虚损;咳嗽痰喘,阴虚、气虚,适量为宜,痰湿慎;实热慎,四季,炖/煮,冰糖;银耳;红枣,茶,3-5g/日,3-9g/日,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
燕麦,yan mai,食材,谷物豆类,平,甘、辛咸,脾;胃;肾;肝;心;肺;小肠;胆,降脂通便;健脾;健脾益气;降脂,便秘;高脂血;高脂血症,气滞、湿热、阳虚、气虚、阴虚,适量使用;忌过量；新鲜适量;个体过敏慎,阴虚火旺慎；孕妇慎；脾虚湿盛慎；实热内盛慎；海鲜过敏慎；高尿酸慎,四季,泡饮/炖煮/凉拌/烹饪/煮粥/煲汤/煎服/蒸食,姜;米;红枣;生姜;枸杞;山药,辛辣;油腻;过量油炸,30-50g/日,——,常见食疗与草药条目，兼具调理与保健价值。；营养学参考：高蛋白/矿物质/多糖/不饱和脂肪酸。,《本草纲目》要点/现代药理参考
牛奶,niu nai,食材,乳品,平,甘,心;肺;胃,补虚益气;养血润燥,虚弱劳损;消渴;便秘,气虚、阴虚、血虚、平和,适量为宜;乳糖不耐慎,脾胃虚寒慎;痰湿体质慎,四季,直饮/加热/制作奶制品,蜂蜜;燕麦;木瓜;红枣,果汁;巧克力;药物,200-500ml/日,——,营养成分丰富，含蛋白质、钙质及多种维生素。,现代营养学参考
牛肉,niu rou,动物类,畜肉,温,甘,脾;胃,补中益气;强筋骨,气血不足;体虚,阳虚、阴虚、痰湿、湿热、血虚,适量为宜;忌过食；新鲜适量;个体过敏慎,孕妇慎；实热内盛慎；阴虚火旺慎；海鲜过敏慎；高尿酸慎,四季,清炖/红烧,姜;枸杞;山药;生姜,酒精;油炸;过量油炸;栗子;白酒;橄榄;生姜,100-150g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。；营养学参考：高蛋白/矿物质/多糖/不饱和脂肪酸。,《本草纲目》要点/现代药理参考
牛肚,niu du,动物类,畜内脏,平,甘,脾;胃,补益脾胃;补气养血,病后虚羸;气血不足,气虚、血虚、平和,适量为宜,——,四季,炖/卤/炒,萝卜;豆腐;姜,——,50-100g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
牛蒡子,niu bang zi,中药材,理气,热,辛咸、辛,肺;脾;胃;肝;肾;心;小肠;胆,疏散风热;利咽透疹,风热感冒;咽痛,气滞、平和、痰湿、阳虚、湿热,过量慎用,实热内盛慎；阴虚火旺慎；脾虚湿盛慎；孕妇慎,四季,后下/研末/冲服/泡茶/煎服/煲汤/先煎/生食,姜;枣;米,——,——,15-60g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
牡丹皮,mu dan pi,中药材,安神、清热解毒、理气,微温,辛甘、辛,心;小肠;肾;肝;脾;肺;胆;胃,清热凉血;活血散瘀,温热病;血热出血,平和、痰湿、阴虚、气滞、湿热,过量慎用,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎,四季,煎服/外用/煲汤/先煎/泡茶/炙用/研末/后下/生食/冲服,姜;枣;米,——,——,15-60g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
牡蛎,mu li,食材,海产类,寒,辛甘、辛,心;肝;脾;肾;肺;胃;胆;小肠,平肝潜阳;软坚散结,眩晕;瘰疬,阴虚、血虚、气虚、气滞、湿热,适量使用;忌过量,脾虚湿盛慎；阴虚火旺慎；实热内盛慎；孕妇慎,四季,泡茶/外用/煲汤/蒸食/煎服/生食/炖煮/熬膏,姜;葱;米,辛辣;油腻,100-200g/餐,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
猪肉,zhu rou,动物类,畜肉,平,甘、咸,脾;胃;肾,滋阴润燥;补肾养血,热病伤津;消渴;肾虚,平和、气虚、阴虚、血虚,适量为宜;忌过食,痰湿体质慎;高脂血症慎,四季,炒/炖/煮/蒸/红烧,白菜;豆腐;莲藕;冬瓜;海带,甘草;鸽肉;黄豆;芫荽;牛肉,100-150g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
猪肚,zhu du,动物类,畜内脏,温,甘,脾;胃,补虚损;健脾胃,虚劳瘦弱;脾胃虚弱,气虚、阳虚,适量为宜,——,四季,炖/煮/卤,莲子;白果;山药,芦荟,50-100g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
猪肝,zhu gan,食材,内脏,温,甘;苦,肝,补肝明目;养血,肝血不足;夜盲症;贫血,血虚,适量为宜,高胆固醇慎,四季,炒/汤,韭菜;菠菜,——,50-100g/餐,——,补血佳品，维A含量极高，明目效果显著。,《本草纲目》/现代营养学
猪苓,zhu ling,中药材,利水渗湿,平,甘;淡,肾;膀胱,利水渗湿;通淋,小便不利;水肿,湿盛,阴虚津亏慎,——,四季,煎服,——,——,——,6-12g/日,利尿研究,中医方药
玄参,xuan shen,中药材,清热凉血,寒,甘;苦;咸,肺;胃;肾,清热凉血;滋阴降火;解毒散结,热病烦渴;阴虚内热;骨蒸劳热;咽喉肿痛;瘰疬,阴虚、湿热、血虚、平和,阳虚、脾虚,脾胃虚寒;食少便溏者慎,四季,煎服/入膳,麦冬;生地黄,黄芪;干姜;大枣,——,9-15g/日,药食参考条目。滋阴降火，清热解毒。,《中国药典》/《神农本草经》
玉竹,yu zhu,中药材,养阴生津,平,甘,肺;胃,养阴润燥;生津止渴,肺胃阴伤;燥咳少痰;咽干口渴;内热消渴,阴虚、平和、气虚,痰湿、阳虚,脾虚便溏;痰湿内盛者慎,四季,煎服/入膳/煲汤,沙参;麦冬,——,30-60g/餐,9-15g/日,药食两用：养阴润燥，可作食疗。,《中国药典》/《神农本草经》
玉米,yu mi,食材,谷物,平,甘,胃;大肠,调中开胃;利尿消肿,食少;水肿,平和、气虚,适量为宜,——,四季,煮/蒸/烤,排骨;胡萝卜,田螺,100-200g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
王不留行,wang bu liu xing,中药材,活血通络,平,苦,肝;胃,活血通经;下乳消肿,经闭痛经;乳汁不下,血瘀,孕妇慎,——,四季,煎服,——,——,——,6-12g/日,通乳相关,中医方药
玫瑰花,mei gui hua,中药材,理气,热,甘、辛甘,肝;肾;肺;心;脾;胆;小肠;胃,理气解郁;活血散瘀,胸闷胁痛;月经不调,血虚、痰湿、阴虚、气滞、湿热,适量为宜;忌过食,脾虚湿盛慎；孕妇慎；阴虚火旺慎；实热内盛慎,四季,泡茶/研末/泡酒/冲泡/香料/炖煮/外用/生食/煲汤/煎服,姜;枸杞;蜂蜜,酒精;油炸,——,15-60g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
玫瑰花茶,mei gui hua cha,食材,茶类,温,甘;苦,肝;胃,疏肝解郁;活血,肝郁;血瘀,气郁、血瘀,适量饮用,——,四季,泡饮,蜂蜜,——,3-5朵/泡,——,花中皇后，美容养颜，调经止痛。,《本草纲目》/现代营养学
珍珠母,zhen zhu mu,中药材,平肝潜阳,寒,咸,肝;心;肾,调理脏腑;扶正祛邪,食积不化;气滞;湿困中焦,平和体质为主，结合个体情况,孕妇或慢性病患者遵医嘱,过敏者禁用,四季,煎服/入膳,——,——,——,15-30g/日,药食参考条目，后续可细化现代研究与营养信息。,《本草纲目》等/现代文献汇编(占位)
瓜蒌,gua lou,中药材,止血,热、大寒,酸涩、甘,肺;肝;脾;胃;心;小肠;肾;大肠;膀胱,清热化痰;宽胸散结,痰热咳嗽;胸痹,阴虚、气虚、阳亢、平和、气滞,过量慎用,高尿酸慎；实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎,四季,煎服/先煎/后下/炙用/外用/包煎/研末冲服,瓜蒌,——,——,1-3g/日,常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
甘草,gan cao,中药材,温里,热,苦甘、苦,脾;胃;肝;胆;心;小肠;肺;肾;膀胱,补脾益气;调和诸药,脾胃虚弱;咽喉肿痛,气虚、阴虚、平和、血虚、湿热,过量慎用,实热内盛慎；脾虚湿盛慎；阴虚火旺慎；孕妇慎；高尿酸慎,四季,外用/煲汤/炙用/后下/先煎/泡茶/冲服/煎服/包煎/研末冲服,甘草;党参;黄芪;大枣;白芍;桂枝,——,——,1-3g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
甜瓜,tian gua,食材,果品,寒,甘,心;胃,清暑热;解烦渴,暑热烦渴;小便不利,湿热、平和,适量为宜,脾胃虚寒慎;糖尿病慎,夏,鲜食,西瓜;绿豆,螃蟹;田螺,100-200g/日,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
生地黄,sheng di huang,中药材,清热凉血,寒,甘;苦,心;肝;肾,清热凉血;养阴生津,热入营血;身热舌绛;吐血衄血;津伤口渴,阴虚、血虚、湿热,阳虚、痰湿,脾虚泄泻;胃寒食少者慎,四季,煎服/鲜用,玄参;麦冬,萝卜;葱;蒜,——,9-30g/日,"药食参考条目。即""地黄""的鲜品或干燥品。",《中国药典》/《神农本草经》
田七(三七),tian qi,中药材,活血,温,甘;微苦,肝;胃,化瘀止血;活血定痛,咯血;吐血;衄血;便血;崩漏;外伤出血;跌打瘀肿,血瘀、平和、气滞,血虚、阴虚,血虚无瘀者慎;孕妇慎,四季,煎服/研末冲服/入膳,鸡肉;排骨,——,适量入膳,3-9g/日,"即""三七""。数据已存在，此条可合并。",《中国药典》/《本草纲目》
甲鱼,jia yu,动物类,龟鳖,平,甘,肝;肾,滋阴凉血;软坚散结,骨蒸潮热;肝脾肿大,阴虚、血虚,适量为宜,脾胃虚弱慎;孕妇慎,秋、冬,炖/煮,枸杞;淮山,苋菜;芹菜,50-100g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
番茄,fan qie,食材,蔬菜,凉,甘酸,胃;肝,生津止渴;健胃消食,食欲不振;口渴,湿热、平和、阳虚、血虚、气虚,适量为宜;忌过食,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎,四季,生食/煮汤,姜;枸杞;山药,酒精;油炸,100-200g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
白头翁,bai tou weng,中药材,解表,热,甘酸、酸涩,肝;胆;脾;胃;肾;心;小肠;肺,清热解毒;凉血止痢,热毒血痢;肠炎,痰湿、阳虚、湿热、气滞、气虚,过量慎用,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,后下/煎服/煲汤/炙用/冲服/先煎/外用/生食/研末/泡茶,姜;枣;米,——,——,1-3g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
白术,bai zhu,中药材,温里、养阴,凉、热、微温,苦甘、甘酸,肝;肾;肺;心;脾;胃;胆,健脾益气;燥湿利水,脾虚泄泻;水肿,平和、阴虚、湿热、痰湿、气滞,过量慎用,实热内盛慎；脾虚湿盛慎；阴虚火旺慎；孕妇慎,四季,外用/后下/研末/炙用/冲服/煎服/生食/煲汤/先煎/泡茶,姜;枣;米,——,——,100-250g/餐,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
白果,bai guo,食材,坚果籽仁,平,甘、苦、涩,肺;肾,敛肺定喘;止带缩尿,痰喘咳嗽;带下;遗尿,气虚、阳虚,不可过量,实邪慎;小儿慎,秋、冬,煮/炒/炖,猪肚;百合,鲤鱼,5-10g/日,6-10g/日,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
白芍,bai shao,中药材,理气、养阴,平,甘酸、甘,肾;肝;肺;脾;胃;心;小肠;胆,养血柔肝;缓急止痛,月经不调;腹痛,阳虚、气虚、平和、湿热、血虚,过量慎用,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎,四季,研末/后下/煎服/先煎/煲汤/泡茶/冲服/外用,姜;枣;米,——,——,3-9g/日,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
白花蛇舌草,bai hua she she cao,中药材,民间草药类,温、寒、凉,苦甘、辛咸,肾;肝;脾;胃;胆;心;小肠;肺,清热解毒;消肿利尿,咽喉肿痛;湿热泻,阴虚、气滞、痰湿、气虚、平和,适量使用;忌过量,阴虚火旺慎；脾虚湿盛慎；孕妇慎；实热内盛慎,四季,煮粥/煎服/蒸食/煲汤/凉拌/炖煮/烹饪/泡饮,姜;米;红枣,辛辣;油腻,——,10-50g/日,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
白芷,bai zhi,中药材,解表、木本花果类,寒、热,咸、苦甘,脾;胃;肝;肾;肺;心;胆;小肠;膀胱,祛风止痛;通鼻窍;燥湿止带,阳明头痛;鼻渊;头痛;带下,痰湿、阳虚、血虚、平和、气虚,过量慎用,阴虚火旺慎；脾虚湿盛慎；实热内盛慎；孕妇慎；高尿酸慎,四季,外用/冲服/后下/泡茶/煲汤/煎服/炙用/先煎/包煎/生食/研末,白芷;姜;枣;米;川芎;细辛;防风;羌活,——,——,9-30g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。；兼具药理与传统用途：具清热、止痛、抗菌或收敛作用。,《本草纲目》要点/现代药理参考
白萝卜,bai luo bo,食材,蔬菜,凉,甘、辛,肺;胃,下气消食;清热化痰,食积不化;咳嗽痰多,痰湿、湿热、气滞,适量为宜;忌过食,脾胃虚寒慎;气虚体质慎,秋、冬,生食/煮汤/炖煮/炒菜,羊肉;牛肉;豆腐;海带;梨,人参;橘子;木耳;胡萝卜,150-250g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
百合,bai he,中药材,理气,热、平,辛咸、辛甘,心;小肠;肝;胆;肾;肺;脾;胃,养阴润肺;清心安神,失眠多梦;阴虚咳嗽,湿热、阴虚、气滞、气虚、痰湿,过量慎用,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,煎服/研末/外用/后下/先煎/炙用/泡茶/冲服/生食/煲汤,姜;枣;米,——,——,1-3g/日,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
百合南瓜羹,bai he nan gua geng,食材,节令食疗方,热,辛、苦甘,肝;肾;肺;心;小肠;脾;胃,养阴润燥;健脾,秋季皮肤干,阴虚、气滞、痰湿、平和、血虚,适量使用;忌过量,脾虚湿盛慎；孕妇慎；实热内盛慎；阴虚火旺慎,四季,凉拌/泡饮/蒸食/烹饪/煮粥/煎服/煲汤,姜;米;红枣,辛辣;油腻,30-100g/日,——,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
益母草,yi mu cao,中药材,活血利水,微寒,辛;苦,心包;肝;膀胱,活血调经;利尿消肿,月经不调;痛经;产后瘀阻腹痛;水肿尿少,血瘀、湿热、平和,血虚、阴虚,血虚无瘀者慎;孕妇慎,四季,煎服/入膳/熬膏,当归;川芎,——,——,9-30g/日,药食参考条目。为妇科活血调经要药。,《中国药典》/《神农本草经》
盐,yan,食材,调味品复方类,热,咸、甘酸,肝;胆;心;脾;胃;肺;肾;小肠,调味解毒;软坚,咽喉肿痛;瘰疬,血虚、气虚、气滞、阴虚、痰湿,适量使用;忌过量,脾虚湿盛慎；实热内盛慎；阴虚火旺慎,四季,蒸食/生食/熬膏/炖煮/外用/煎服,姜;葱;米,辛辣;油腻,适量,9-30g/日,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
知母,zhi mu,中药材,解表,温,甘酸、甘,肺;脾;胃;肝;肾;心;小肠;胆;膀胱;大肠,清热泻火;滋阴润燥,热病烦渴;骨蒸潮热,气虚、平和、湿热、阴虚、痰湿,过量慎用,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎；高尿酸慎,四季,煎服/外用/冲服/后下/煲汤/先煎/泡茶/炙用/研末冲服/包煎,知母,——,——,15-60g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
石斑鱼,shi ban yu,食材,海产类,寒,辛甘、辛咸,心;小肠;肝;胆;脾;胃;肾;肺,补气养血;健脾益胃,脾胃虚弱;气血不足,气滞、痰湿、湿热、气虚、阳虚,适量使用;忌过量,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,泡茶/熬膏/生食/煲汤/炖煮/蒸食/煎服/外用,姜;葱;米,辛辣;油腻,15-60g/日,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
石斛,shi hu,中药材,稀有药材类,微温,淡、酸,肝;肾;肺;脾;胃;心;小肠;胆,养阴清热;益胃生津,阴虚热病;胃阴不足,气虚、平和、血虚、阳虚、阴虚,适量使用;忌过量,脾虚湿盛慎；实热内盛慎；孕妇慎；阴虚火旺慎,四季,泡茶/外用/煎服/泡饮/研末/煲汤/炖煮/炙用,枸杞;红枣;蜂蜜,油腻;辛辣,——,15-60g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
石斛枸杞水,shi hu gou qi shui,食材,药膳饮品类,平,甘,肝;肾,眼疲劳;咳嗽,肝;肾,气滞、痰湿、阴虚、气虚、湿热,孕期慎用;适量为宜,脾虚湿盛慎；孕妇慎；阴虚火旺慎,四季,泡饮,枸杞;红枣;桂圆,过量酒精,适量,3-9g/日,药膳或滋补饮品原料，适宜体虚调养及季节性食疗。,《本草纲目》要点/现代药理参考
石榴皮,shi liu pi,中药材,止血、化痰止咳,寒、大寒,苦、辛咸,大肠;胃;肾;肝;脾;心;肺;胆,涩肠止泻;止带杀虫,久泻久痢;虫积,阳虚、阴虚火旺、痰湿、血虚、阴虚,过量慎用,孕妇慎；高尿酸慎；脾虚湿盛慎；实热内盛慎；阴虚火旺慎,四季,煎服/先煎/后下/包煎/研末冲服/煲汤/冲服/炙用,石榴皮,——,——,100-250g/餐,常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
石膏,shi gao,中药材,滋补、补益、活血、解表、温里,微温,甘酸、苦,心;肝;脾;肾;肺;胃;胆;小肠;膀胱;大肠,清热泻火;除烦止渴,高热烦渴;肺热喘咳,气虚、痰湿、阳虚、湿热、血虚,过量慎用,实热内盛慎；阴虚火旺慎；脾虚湿盛慎；孕妇慎,四季,煲汤/先煎/冲服/外用/炙用/后下/泡茶/煎服/包煎/研末冲服,石膏,——,——,9-30g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
石菖蒲,shi chang pu,中药材,化湿开窍,温,辛;苦,心;胃,化湿开胃;开窍豁痰;醒神益智,湿阻中焦;脘痞不饥;痰浊蒙蔽清窍;神昏;健忘,痰湿、湿热、气滞、平和,阴虚火旺,阴虚阳亢;烦躁汗多者慎,四季,煎服/入膳,茯苓;远志,——,——,3-9g/日,药食参考条目。芳香化湿，开窍醒神。,《中国药典》/《神农本草经》
砂仁,sha ren,中药材,理气和胃,温,辛;香,脾;胃,化湿行气;温中止泻;安胎,湿阻中焦;脘腹胀痛;呕吐泄泻;妊娠恶阻;胎动不安,痰湿、气滞、阳虚,阴虚火旺,阴虚有热者慎,四季,煎服/入膳/后下,陈皮;木香,——,——,3-6g/日(后下),药食参考条目。芳香化湿，行气安胎。宜后下。,《中国药典》/《药性论》
硼砂,peng sha,中药材,清热解毒,温、寒、热、微温,甘酸、辛甘,肾;肝;胆;心;脾;胃;肺;小肠,清热解毒;化痰,咽喉肿痛;口疮,阴虚、阳虚、湿热、平和、痰湿,过量慎用,脾虚湿盛慎；实热内盛慎；阴虚火旺慎；孕妇慎,四季,煲汤/炙用/研末/外用/泡茶/先煎/冲服/生食/煎服/后下,姜;枣;米,——,——,3-9g/日,兼具药理与传统用途：具清热、止痛、抗菌或收敛作用。,《本草纲目》要点/现代药理参考
神曲,shen qu,中药材,消食,温,辛;甘,脾;胃,消食和胃;化积,饮食积滞;脘腹胀满;食少纳呆;泄泻,痰湿、气滞、平和,脾虚、阴虚,脾阴虚胃火盛者慎;无食积者慎,四季,煎服/入膳/炒用,山楂;麦芽,——,——,6-15g/日,药食参考条目。为发酵品，善消谷食积滞。,《中国药典》/《药性论》
秦艽,qin jiao,中药材,祛风湿清热,微寒,苦;辛,胃;肝;胆,祛风湿;清湿热;止痹痛,风湿痹痛;筋脉拘挛;骨蒸潮热;湿热黄疸,湿热、气滞、平和,脾虚、阳虚,脾虚便溏者慎;久病虚寒者忌,四季,煎服/入膳,防风;羌活,——,——,6-9g/日,药食参考条目。祛风湿，退虚热。,《中国药典》/《神农本草经》
竹叶,zhu ye,中药材,解表,寒,淡、辛咸,肝;胆;肾;肺;脾;胃;心,清热除烦;生津,热病心烦;口渴,血虚、阳虚、气虚、湿热、气滞,过量慎用,孕妇慎；脾虚湿盛慎；阴虚火旺慎；实热内盛慎,四季,冲服/外用/后下/煎服/先煎/研末/生食/炙用/煲汤,姜;枣;米,——,——,6-15g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
竹笋,zhu sun,食材,蔬菜,寒,甘,肺;胃,清热化痰;利水,痰热咳嗽;小便不利,阳虚、阴虚、湿热、气滞,适量为宜;忌过食,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎,四季,炒/煮,姜;枸杞;山药,酒精;油炸,100-200g/餐,——,营养学与食疗结合：具降脂、抗氧化、清热等功效。,《本草纲目》要点/现代药理参考
竹茹,zhu ru,中药材,养阴润燥,热,辛、苦甘,肝;胆;心;小肠;脾;胃;肾;肺,清热化痰;止呕,痰热咳嗽;呕吐,血虚、气滞、气虚、平和、阳虚,过量慎用,实热内盛慎；阴虚火旺慎；脾虚湿盛慎；孕妇慎,四季,先煎/后下/泡茶/煲汤/煎服/研末/生食/冲服/炙用/外用,姜;枣;米,——,——,6-15g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
竹荪,zhu sun,食材,菌菇,寒,甘,肺;胃,润肺止咳;清热,肺热咳嗽;热病,湿热、阴虚,适量为宜,脾胃虚寒慎,夏,煮汤,鸡肉,——,20-30g/餐,——,菌中皇后，清香爽口，营养价值极高。,现代营养学
米仁(薏苡仁),mi ren,食材,谷物豆类,凉,甘,脾;肺;胃,健脾渗湿;除痹止泻;清热排脓,水肿;脚气;风湿痹痛;脾虚泄泻;肠痈,湿热、痰湿、平和,阴虚、阳虚,脾虚无湿者慎;孕妇慎,四季,煎服/入膳/煮粥,赤小豆;山药;茯苓,——,20-50g/日,30-60g/日,"即""薏苡仁""，药食两用。",《中国药典》/《神农本草经》
米酒,mi jiu,中药材,清热,温,苦、酸涩,肝;肾;肺;心;脾;小肠;胃;胆,补中益气;活血通络,气虚血滞;寒湿痹痛,湿热、阳虚、阴虚、气滞、平和,适量为宜;忌过食,脾虚湿盛慎；孕妇慎；实热内盛慎；阴虚火旺慎,四季,研末/炖煮/煎服/煲汤/冲泡/泡茶/泡酒/香料/生食/外用,姜;枸杞;蜂蜜,酒精;油炸,——,6-15g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
糯米,nuo mi,食材,调味品复方类,微温、寒、温、平,辛甘、甘酸,肾;肝;脾;胃;心;肺,补中益气;止泻,脾虚泄泻,气虚、阳虚、湿热,适量使用;忌过量,孕妇慎；脾虚湿盛慎；阴虚火旺慎,四季,煎服/生食/熬膏,姜;葱;米,辛辣;油腻,50-100g/餐,9-30g/日,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
紫苏,zi su,食材,调料,温,辛,肺;脾,发汗解表;理气安胎,风寒感冒;胎动不安,阳虚,适量为宜,——,夏、秋,调味/入药,鱼虾;蟹类,——,3-5g/次,——,香草之王，既是调料又是中药。,《本草纲目》/现代营养学
紫草,zi cao,中药材,清热凉血,寒,甘,心;肝,凉血活血;解毒透疹,血热毒盛;斑疹紫黑;麻疹不透;疮疡;湿疹,湿热、血瘀、平和,脾虚、阳虚,脾胃虚寒便溏者慎,四季,煎服/熬膏/外用,金银花;连翘,——,——,3-9g/日,药食参考条目。外用治烧烫伤、湿疹。,《中国药典》/《神农本草经》
紫菀,zi wan,中药材,润肺化痰,温,苦;辛;甘,肺,润肺下气;化痰止咳,痰多喘咳;新久咳嗽;劳嗽咳血,痰湿、平和、气虚,阴虚火旺,阴虚燥咳者慎;实热咳喘者忌,四季,煎服/蜜炙,款冬花;杏仁,——,——,5-10g/日,药食参考条目。蜜炙后润肺止咳力佳。,《中国药典》/《神农本草经》
紫菜,zi cai,食材,海产类,寒,苦甘、甘酸,肺;脾;胃;心;肝;胆;小肠;肾,软坚散结;清热,瘰疬;痰核,血虚、气滞、湿热、平和,适量使用;忌过量,阴虚火旺慎；孕妇慎；脾虚湿盛慎,四季,蒸食/生食/泡茶/炖煮/熬膏/煲汤/外用/煎服,姜;葱;米,辛辣;油腻,100-200g/餐,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
